nmrFileName,peakid,mzml,researcher,username,instrument,organization,date
RZ_121009_LP_Pyroglutamic_F_277mz_COSY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
RZ_121009_LP_Pyroglutamic_W_316mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
RZ_121009_Pseu_TSB007_ASM_s_224mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
RZ_121009_Pseu_TSB007_ASM_s_225mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
RZ_121010_LP_Pyroglutamic_F_277mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Oct 10 00:00:00 EDT 2012
RZ_121010_LP_Pyroglutamic_W_316mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Oct 10 00:00:00 EDT 2012
RZ_121010_Pseu_TSB007_ASM_s_224mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Oct 10 00:00:00 EDT 2012
RZ_121010_Pseu_TSB007_ASM_s_225mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Oct 10 00:00:00 EDT 2012
RZ_121010_Pseu_TSB007_ASM_s_225mz_13C,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Oct 11 00:00:00 EDT 2012
RZ_121010_Pseu_TSB007_ASM_s_225mz_DEPT,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Oct 10 00:00:00 EDT 2012
RZ_121015_LP_pyroglutamic_F_277mz_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 15 00:00:00 EDT 2012
RZ_121015_LP_pyroglutamic_LorI_243mz_1,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 15 00:00:00 EDT 2012
RZ_121015_LP_pyroglutamic_LorI_243mz_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 15 00:00:00 EDT 2012
RZ_121015_LP_pyroglutamic_W_316mz_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 15 00:00:00 EDT 2012
RZ_121018_LP_pyroglutamic_F_277mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Oct 18 00:00:00 EDT 2012
RZ_121018_LP_pyroglutamic_IorL_243mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Oct 18 00:00:00 EDT 2012
RZ_121018_LP_pyroglutamic_W_316mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Oct 18 00:00:00 EDT 2012
RZ_121022_PAQ_F10(NP)_check,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 22 00:00:00 EDT 2012
RZ_121022_PAQ_F11(NP)_check,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 22 00:00:00 EDT 2012
RZ_121022_PAQ_F2(NP)_check,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 22 00:00:00 EDT 2012
RZ_121022_PAQ_F3(NP)_check,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 22 00:00:00 EDT 2012
RZ_121022_PAQ_F4)NP)_check,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 22 00:00:00 EDT 2012
RZ_121022_PAQ_F8(NP)_check,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 22 00:00:00 EDT 2012
RZ_121022_PS_TSB007_ASM_s_224mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 22 00:00:00 EDT 2012
RZ_121022_Ps_TSB007_ASM_s_225mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 22 00:00:00 EDT 2012
RZ_121022_Ps_TSB007_ASM_s_244mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 22 00:00:00 EDT 2012
RZ_121022_Ps_TSB007_ASM_s_260mz_(1),,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 22 00:00:00 EDT 2012
RZ_121022_Ps_TSB007_ASM_s_260mz_(2),,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 22 00:00:00 EDT 2012
RZ_121022_Ps_TSB007_ASM_s_433mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Oct 22 00:00:00 EDT 2012
RZ_121112_Xiang_fungus_1065mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Nov 12 00:00:00 EST 2012
RZ_121112_Xiang_fungus_284mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Nov 12 00:00:00 EST 2012
RZ_121129_PA7_TSB_651mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Nov 29 00:00:00 EST 2012
RZ_121205_Ps.TSB007_TSB_s_539mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Dec 05 00:00:00 EST 2012
RZ_121206_Ps.TSB007_TSB_s_539mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Dec 06 00:00:00 EST 2012
RZ_121210_PS.TSB007_TSB_s_539mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Dec 10 00:00:00 EST 2012
RZ_121210_PS.TSB007_TSB_s_539mz_COSY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Dec 11 00:00:00 EST 2012
RZ_121210_PS.TSB007_TSB_s_539mz_DEPT,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Dec 12 00:00:00 EST 2012
RZ_121210_PS.TSB007_TSB_s_539mz_HMBC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Dec 11 00:00:00 EST 2012
RZ_121210_PS.TSB007_TSB_s_539mz_HSQC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Dec 11 00:00:00 EST 2012
RZ_130114_ML55_535mz_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Jan 14 00:00:00 EST 2013
